donor,best PCE
687_796_001111,17.695215
860_161_110100,17.691542
751_61_010000,17.691221
655_61_010010,17.690183
1050_61_000100,17.689628
1050_381_111101,17.68875
121_63_101111,17.688119
121_802_111011,17.687718
260_1087_101111,17.677726
100_502_100101,17.676691
1118_61_000011,17.676279
121_101_110001,17.675427
687_231_101111,17.673616
920_812_100111,17.672695
121_61_100000,17.671104
920_913_011011,17.669523
260_99_001000,17.662652
260_467_101010,17.662097
1024_155_100111,17.66209
100_981_001111,17.661509
121_6_110011,17.657076
1024_156_111001,17.656925
100_917_110011,17.655622
399_179_111100,17.654657
399_498_110011,17.652458
1050_692_110111,17.651883
260_99_000001,17.651083
687_340_110111,17.649491
100_1170_100101,17.644702
327_5_000101,17.642447
121_161_111011,17.638871
210_6_101110,17.633817
1050_87_110011,17.632537
135_6_101110,17.632054
185_1206_111011,17.63183
579_787_100111,17.62797
920_988_101011,17.626098
860_6_000101,17.624602
824_61_100000,17.62431
905_6_110100,17.623068
1050_281_111011,17.620284
959_703_111011,17.618175
905_6_110011,17.60841
920_1103_110011,17.6047
184_61_001100,17.604355
121_61_000010,17.600207
824_520_101111,17.597376
121_61_000001,17.591729
824_939_111011,17.590222
959_145_111111,17.588289
1050_449_110111,17.587303
1050_489_001111,17.584688
17_61_000010,17.584355
905_6_110001,17.5841
260_443_111001,17.582032
920_381_110011,17.581712
121_522_101001,17.579186
860_161_111011,17.578557
1050_346_100111,17.577583
959_61_100100,17.575605
905_6_011110,17.574312
121_654_110111,17.573201
824_24_110011,17.571701
596_114_111000,17.569793
327_634_101111,17.569102
1194_6_110101,17.567749
121_519_101111,17.567599
905_6_010101,17.565356
100_1193_001111,17.565181
1050_983_111101,17.563123
1050_37_001111,17.559078
260_670_111101,17.557438
596_17_111000,17.556016
22_161_111011,17.54801
920_281_110111,17.545579
100_313_100011,17.545076
260_160_100111,17.54453
112_6_101110,17.543933
235_21_111101,17.541501
260_1033_110011,17.540792
1024_142_100111,17.540694
118_579_100111,17.539867
327_61_011000,17.535189
121_22_111011,17.530634
1050_352_100111,17.528654
1024_686_100111,17.526806
260_99_000010,17.526097
121_6_010001,17.524909
184_497_111101,17.524802
185_61_000001,17.523039
